1,widerrufsbutton,active
5,abo-button-beschriftung-ecommerce,active
11,ai-system-transparency-notice,active
14,omnibus-preisangabe-30-tage,active
20,bestellbutton-zahlungspflicht-kennzeichnung,active
29,dsa-werbeanzeigen-kennzeichnung,active
31,newsletter-double-opt-in-formular,active
62,eu-ai-act-chatbot-kennzeichnung,active
63,abo-button-zahlungspflicht-kennzeichnung,active
67,bfsg-erklaerung-barrierefreiheit,active
73,affiliate-link-kennzeichnung,active
79,abo-button-kennzeichnung,active
89,affiliate-link-werbekennzeichnung,active
91,analytics-opt-out-pflicht,active
92,ai-chatbot-kennzeichnung,active
94,button-loesung-zahlungspflichtig,active
95,drittlandtransfer-usa-dokumentation,active
98,tracking-wall-alternative-erforderlich,active
102,abo-button-laufzeit-hinweis,active
127,dsa-meldemechanismus-rechtswidrige-inhalte,active
130,dsk-web-analytics-widerspruchsrecht,active
178,dsa-empfehlungssystem-transparenz,active
187,green-claims-nachweis,active
196,wcag-22-konsistente-hilfe,active
211,barrierefreiheitserklaerung-bfsg,active
213,cookie-wall-alternative-information,active
214,bfsg-barrierefreiheit-erklaerung,active
218,google-consent-mode-v2-implementation,active
234,preisangabenverordnung-referenzpreis-30-tage,active
236,uk-drittlandtransfer-hinweis-datenschutz,active
242,dsa-transparenzbericht-online-plattform,active
253,preisangabe-niedrigster-preis-30-tage,active
260,green-claims-nachweisseite,active
267,cookie-banner-usa-transfer-hinweis,active
278,ai-generated-content-label,active
280,ttdsg-tracking-informationspflicht,active
281,button-loesung-zahlungspflicht,active
295,newsletter-abmeldung-pflicht,active
319,google-analytics-einwilligung-cookie-banner,active
343,cookie-banner-tracking-free-alternative,active
345,cookie-wall-alternative-option,active
350,drittlandtransfer-information-schrems-iii,active
370,omnibus-ranking-transparenz,active
375,ppwr-verpackungskennzeichnung,active
378,ppwr-verpackungsinformationen-online-shop,active
383,greenwashing-nachweispflicht-umweltaussagen,active
386,abo-kuendigung-button,active
387,dsa-non-personalized-recommendation-option,active
390,lucid-registrierungsnummer-verpackg,active
394,ppwr-verpackungsinformationen-produktseiten,active
